"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 03 13:57:29 UTC 2025","Tue Jun 03 13:57:29 UTC 2025","2","","TestSuiteOne","","","","TestGetComputersFromMockServer1",""
"passed","Tue Jun 03 13:57:29 UTC 2025","Tue Jun 03 13:57:29 UTC 2025","1","","TestSuiteOne","","","","TestGetComputersFromMockServer2",""
